,Grupo 18: Jonathas Conceição e  Juan Rios ,,,,,,,,,,
,,,,,,,,,,,
i,Curso,Ingresso (ano/sem),27. Consome álcool?,31. Pratica alguma atividade física?,Qual(is)?,34. Tem alguma prática espiritual/filosófica ou religião?,Qual?,35. Tempo médio (aproximado) de uso diário do Smartphone (em horas e minutos),49. Quantas disciplinas você já cursou (incluindo as reprovações e os aproveitamentos)?,53. Já pensou em desistir do curso?,55. Qual seu nível de satisfação com a infraestrutura da UFPel?
1,Licenciatura em Matemática,161,Ocasionalmente,Sim,Bicicleta e Natação,não,,10,25,Não,8
3,Ciências Econômicas,161,Ocasionalmente,Sim,Musculação,Sim,Budismo Tibetano,1,34,Sim,6
4,Engenharia de Computação,181,Ocasionalmente,Sim,Ciclismo,não,,8,18,Não,7
5,Ciência da Computação,171,Ocasionalmente,Sim,musculação,Sim,evangélico,2,22,Sim,1
6,Engenharia de Computação,191,Ocasionalmente,Não,,não,,3,7,Não,6
7,Ciência da Computação,131,Nunca,Não,,Sim,Evangélico Luterano,240,57,Sim,5
8,Ciência da Computação,102,Ocasionalmente,Sim,"Corrida, Ciclismo",Sim,Espirita,20,50,Sim,6
9,Engenharia de Computação,121,Ocasionalmente,Sim,Caminhada,não,,4,67,Sim,9
10,Ciência da Computação,172,Ocasionalmente,Não,,Sim,Devocional diário,4,17,Não,9
11,Ciência da Computação,171,Ocasionalmente,Sim,Academia com personal trainer,não,,3,18,Não,9
12,Ciência da Computação,171,Nunca,Não,,Sim,Niilismo Pessimista,5,23,Sim,7
13,Ciência da Computação,171,Ocasionalmente,Sim,Corrida,não,,4,22,Não,7
14,Ciência da Computação,171,Ocasionalmente,Não,,não,,6.00,19,Não,6
15,Ciência da Computação,171,Ocasionalmente,Não,,não,,3,23,Não,7
16,Ciências Econômicas,181,Ocasionalmente,Sim,FUTEBOL/ CORRIDA,Sim,EVANGÉLICO,4,20,Sim,3
17,Ciência da Computação,171,Ocasionalmente,Sim,karatê,não,,2,24,Não,7
18,Ciência da Computação,171,Nunca,Sim,"Pular corda, correr em esteira",não,,3,24,Não,8
19,Ciência da Computação,152,Ocasionalmente,Sim,Corrida,Sim,Cristianismo,3,39,Sim,6
20,Ciência da Computação,152,Nunca,Sim,Musculação,não,,3,39,Não,5
21,Ciência da Computação,151,Ocasionalmente,Sim,"Futebol, volei e caminhada",Sim,Cristianismo,3,26,Sim,7
22,Ciência da Computação,172,Ocasionalmente,Sim,Futebol,não,,12,16,Não,6
23,Ciência da Computação,132,Nos finais de semana,Não,,não,,5,62,Sim,6
24,Ciência da Computação,171,Ocasionalmente,Não,,não,,5,23,Não,5
25,Ciências Econômicas,171,Ocasionalmente,Sim,"Academia, corrida, tênis",Sim,Espírita,4,22,Não,5
26,Ciência da Computação,171,Nunca,Não,,Sim,,300,21,Sim,9
27,Engenharia de Computação,141,Ocasionalmente,Sim,Musculação,Sim,Espiritismo,2,47,Sim,10
28,Ciência da Computação,171,Nos finais de semana,Sim,Futebol e corrida,não,,6,22,Sim,9
29,Engenharia de Computação,171,Nunca,Sim,Academia,não,,4,25,Sim,5
30,Engenharia de Computação,171,Ocasionalmente,Não,,Sim,Umbanda,8,23,Não,7
31,Engenharia de Computação,171,Nunca,Não,,não,,40,33,Não,6
32,Engenharia de Computação,171,Nos finais de semana,Sim,Academia e basquete,Sim,Evangélico,4,17,Sim,5
33,Ciência da Computação,132,Nunca,Sim,Futebol,não,,3,22,Sim,3
34,Licenciatura em Matemática - Noturno,161,Frequentemente,Não,,Sim,,8,35,Não,7
35,Licenciatura em Matemática,161,Nos finais de semana,Sim,Futebol,Sim,Luterano,9,38,Não,8
36,Licenciatura em Matemática,131,Nos finais de semana,Não,,Sim,Kardecista,4,36,Sim,6
37,Licenciatura em Matemática,161,Ocasionalmente,Sim,Academia,não,,140,36,Sim,5
38,Engenharia Hídrica,161,Ocasionalmente,Não,,Sim,,15,41,Sim,6
39,Ciências Econômicas,171,Frequentemente,Sim,,não,,4,15,Sim,7
40,Engenharia Hídrica,151,Ocasionalmente,Sim,musculação,não,,3,35,Sim,6
41,Engenharia de Computação,151,Ocasionalmente,Sim,Musculação - Corrida,Sim,,4,42,Não,7
42,Ciência da Computação,162,Ocasionalmente,Sim,Academia e Futebol,não,,3,26,Não,7
43,Ciência da Computação,162,Ocasionalmente,Não,,Sim,,4,25,Sim,8
44,Ciência da Computação,171,Ocasionalmente,Não,,não,,2,24,Sim,5
45,Ciência da Computação,171,Nos finais de semana,Sim,Academia,não,,3,24,Não,8
46,Ciência da Computação,162,Nunca,Não,,Sim,Evangelico,6,25,Não,9
47,Ciência da Computação,172,Nunca,Não,,não,,3,18,Sim,8
48,Ciência da Computação,172,Ocasionalmente,Sim,Futsal e corrida,não,,3,16,Sim,9
49,Ciência da Computação,182,Ocasionalmente,Não,,não,,30,5,Não,8
50,Ciência da Computação,171,Ocasionalmente,Sim,"Bicicleta, Corrida",não,,3,20,Não,5
51,Ciência da Computação,161,Nos finais de semana,Sim,ciclismo,não,,2,17,Não,7
52,Engenharia de Computação,171,Ocasionalmente,Sim,Musculação,não,,3,18,Sim,8
53,Ciência da Computação,172,Ocasionalmente,Sim,"Futebol, vôlei, corrida",Sim,Evangélico,6,16,Não,7
54,Ciência da Computação,161,Nos finais de semana,Sim,Corrida,não,,18.5,38,Sim,7
55,Engenharia de Computação,171,Ocasionalmente,Não,,não,,3,20,Sim,6
56,Ciência da Computação,161,Ocasionalmente,Não,,não,,8,46,Não,6
57,Licenciatura em Matemática,161,Nos finais de semana,Não,,não,,8,37,Sim,5
58,Licenciatura em Matemática - Noturno,151,Ocasionalmente,Não,,Sim,Evangélica,5,34,Não,9
59,Licenciatura em Matemática,151,Ocasionalmente,Sim,,Sim,Igreja Evangélica Luterana,5,33,Não,8
60,Enfermagem,171,Ocasionalmente,Não,,não,,8,13,Sim,9
61,Licenciatura em Letras - Port. e Francês,152,Ocasionalmente,Sim,"Ciclismo, corrida e yoga",não,,2,45,Não,8
62,Engenharia Hídrica,181,Ocasionalmente,Não,,Sim,Católica,5,14,Sim,8
63,Licenciatura em Matemática,171,Nunca,Sim,"Skate, Exercicios físicos",não,,1,22,Não,7
64,Engenharia Hídrica,171,Nos finais de semana,Sim,Treinamento Funcional,não,,6,29,Sim,7
65,Engenharia de Computação,171,Frequentemente,Sim,Jiu Jitsu,Sim,Luterano,6.0,31,Sim,10
66,Engenharia de Computação,171,Ocasionalmente,Não,,Sim,Ocultismo,10,25,Sim,6
67,Ciências Econômicas,191,Ocasionalmente,Sim,Academia,não,,130,8,Não,8
68,Engenharia Hídrica,171,Nos finais de semana,Sim,,não,,12,37,Não,10
69,Engenharia Hídrica,171,Frequentemente,Sim,Academia,não,,5,28,Sim,7
70,Engenharia de Computação,141,Ocasionalmente,Sim,Academia,não,,3,42,Não,8
71,Engenharia de Computação,141,Ocasionalmente,Sim,Academia,não,,4,42,Não,8
72,Licenciatura em Matemática - Noturno,151,Ocasionalmente,Sim,Musculação e ciclismo,não,,1.30,25,Sim,5
73,Engenharia de Computação,171,Ocasionalmente,Não,,Sim,Positivismo,4,10,Sim,9
74,Licenciatura em Matemática,151,Nunca,Sim,Pilates,Sim,Catolicismo,8,35,Não,8
75,Engenharia de Computação,181,Nunca,Não,,Sim,Cristã Protestante,6.30,10,Não,7
76,Engenharia de Computação,181,Ocasionalmente,Sim,Corrida,não,,180,15,Sim,4
77,Engenharia de Computação,181,Ocasionalmente,Sim,Corrida,Sim,Cristã,3,10,Sim,7
78,Licenciatura em Matemática - Noturno,161,Ocasionalmente,Não,,Sim,Católico,10,28,Sim,6
79,Ciência da Computação,172,Nunca,Não,,Sim,Católico,12,12,Sim,10
80,Ciência da Computação,172,Nos finais de semana,Não,,não,,2,20,Sim,8
81,Engenharia de Computação,181,Nos finais de semana,Sim,Musculação,não,,3,10,Sim,8
82,Ciência da Computação,132,Ocasionalmente,Não,,não,,3,52,Não,7
83,Ciência da Computação,131,Ocasionalmente,Não,,não,,13,61,Sim,1
84,Ciência da Computação,132,Nunca,Sim,"Futebol, ciclismo e caminhada",não,,2.30,44,Sim,7
85,Relações Internacionais,181,Nos finais de semana,Sim,"Futebol, Corrida",não,,4,11,Não,8
86,Ciência da Computação,172,Ocasionalmente,Não,Academia,não,,0.5,12,Sim,7
87,Ciência da Computação,171,Nunca,Não,,Sim,Católico,6,18,Não,9
88,Ciência da Computação,172,Ocasionalmente,Sim,Ciclismo amador e academia,não,,4,20,Não,7
89,Ciência da Computação,172,Frequentemente,Sim,,Sim,,6,18,Sim,9
90,Ciência da Computação,172,Nunca,Sim,Musculação,não,,15,22,Sim,6
91,Licenciatura em Matemática - Noturno,151,Ocasionalmente,Não,,Sim,sou católico,5,33,Sim,7
92,Ciência da Computação,172,Ocasionalmente,Não,,não,,10,17,Sim,5
93,Ciência da Computação,172,Nunca,Sim,Ciclismo,não,,30,14,Sim,9
94,Ciência da Computação,172,Ocasionalmente,Não,,não,,15,20,Não,8
95,Ciência da Computação,172,Ocasionalmente,Não,,não,,4,16,Sim,5
96,Engenharia de Computação,171,Ocasionalmente,Sim,"Corrida, caminhada, musculação",não,,5,18,Sim,7
97,Engenharia de Computação,171,Ocasionalmente,Sim,Corrida,Sim,Católica,4,23,Sim,6
98,Engenharia de Computação,171,Ocasionalmente,Sim,academia,não,,10,25,Sim,8
99,Engenharia de Computação,151,Frequentemente,Sim,"Flexão, Abdominal, Bíceps, Costas e Pernas",Sim,Católico,3.00,25,Sim,5
100,Engenharia de Computação,161,Ocasionalmente,Não,,Sim,Católico,8,32,Sim,8
101,Engenharia Hídrica,161,Frequentemente,Sim,"correr, musculação",não,,5,25,Sim,7
102,Engenharia de Computação,171,Ocasionalmente,Não,,Sim,Espiritismo,5,25,Não,7
103,Ciência da Computação,132,Frequentemente,Sim,Pedalada,Sim,Igreja e consumo o trabalho do Jordon Peterson,4,49,Sim,4
104,Engenharia Hídrica,171,Nos finais de semana,Sim,Musculação,não,,1,35,Sim,7
105,Engenharia de Computação,171,Ocasionalmente,Sim,Futebol,não,,10,28,Sim,10
106,Engenharia de Computação,151,Nunca,Sim,Academia,não,,2,42,Não,7
107,Engenharia de Computação,151,Nunca,Sim,,não,,2,28,Sim,10
108,Licenciatura em Matemática,152,Nos finais de semana,Sim,Academia,Sim,,6,30,Sim,6
109,Engenharia de Computação,151,Ocasionalmente,Não,,Sim,Espirita,5,40,Sim,4
110,Engenharia de Computação,151,Nunca,Não,,Sim,Católico,2,47,Não,5
111,Ciência da Computação,141,Nos finais de semana,Sim,Treinamento funcional,não,,5,40,Sim,6
112,Ciência da Computação,161,Ocasionalmente,Sim,Musculação e caminhada,Sim,Catolicismo,5,34,Sim,5
113,Ciência da Computação,141,Ocasionalmente,Sim,"Musculação, esteira",não,,5,39,Sim,7
114,Ciência da Computação,151,Frequentemente,Não,,não,,2,47,Sim,8
115,Design Gráfico,171,Ocasionalmente,Não,,não,,3,21,Sim,9
116,Ciência da Computação,182,Ocasionalmente,Não,,não,,2,5,Não,8
117,Ciência da Computação,122,Ocasionalmente,Sim,Muitos,não,,4,100,Sim,3
118,Ciência da Computação,151,Nos finais de semana,Sim,Pedalar,não,,3,35,Sim,6
119,Ciência da Computação,151,Frequentemente,Não,,não,,5,19,Não,9
121,Jornalismo,171,Ocasionalmente,Não,,Sim,Umbanda,6,26,Sim,8
122,Ciências Econômicas,191,Ocasionalmente,Sim,Academia,Sim,Espiritismo,4,5,Não,5
123,Ciências Sociais,161,Ocasionalmente,Não,,Sim,Bruxaria natural livre,3,28,Sim,4
124,Ciências Econômicas,191,Nos finais de semana,Sim,Futebol,não,,4,0,Não,7
125,Ciência da Computação,182,Ocasionalmente,Sim,Vôlei,não,,3,5,Não,10
126,Ciência da Computação,151,Frequentemente,Não,,Sim,Celabrações religiosas,3,48,Sim,2
127,Ciência da Computação,141,Nunca,Sim,Musculação,Sim,Espírita,5,54,Sim,6
128,Licenciatura em Geografia,161,Ocasionalmente,Não,,não,,4,38,Não,6
129,Ciência da Computação,142,Ocasionalmente,Sim,Musculação,Sim,Espiritismo,5,42,Sim,3
130,Engenharia de Computação,171,Ocasionalmente,Não,,Sim,,6,11,Sim,6
131,Engenharia de Computação,171,Ocasionalmente,Não,,não,,6,41,Não,6
132,Engenharia de Computação,171,Ocasionalmente,Sim,Tudo de tudo,não,,500,15,Sim,6
133,Ciências Econômicas,171,Ocasionalmente,Sim,Corrida,Sim,"Falo com Deus ( para tanto, considero a cosmovisão cristã)",2.30,21,Não,6
134,Licenciatura em Letras - Port. e Francês,171,Nos finais de semana,Não,,não,,10,26,Sim,4
135,Engenharia Hídrica,161,Nos finais de semana,Não,,Sim,Católica,4,26,Sim,9
136,Engenharia de Computação,151,Nos finais de semana,Sim,Academia,Sim,Cristianismo,3,46,Sim,8
137,Engenharia de Computação,171,Ocasionalmente,Sim,Musculação,não,,06.00,25,Sim,5
138,Enfermagem,171,Ocasionalmente,Não,,não,,8,13,Sim,7
139,Farmácia,172,Ocasionalmente,Não,,não,,30,20,Sim,2
140,Engenharia Hídrica,151,Ocasionalmente,Sim,Musculação,não,,3,59,Sim,8
141,Licenciatura em Matemática,182,Nos finais de semana,Não,,Sim,Umbandista,600,26,Sim,10
142,Engenharia de Computação,151,Nos finais de semana,Sim,Futebol,não,,3,35,Sim,9
143,Engenharia de Computação,151,Ocasionalmente,Sim,,não,,800,4,Não,7
144,Ciência da Computação,172,Nos finais de semana,Sim,Musculação,não,,15,18,Sim,6
145,Ciência da Computação,151,Nunca,Sim,Academia,Sim,Luterano,8,44,Não,5
146,Engenharia de Computação,161,Ocasionalmente,Sim,Musculação,não,,3,35,Não,6
147,Ciência da Computação,182,Ocasionalmente,Não,,não,,2,28,Não,6
148,Mestrado em Computação,191,Ocasionalmente,Sim,Musculação,não,,150,0,Sim,5
149,Ciência da Computação,121,Nos finais de semana,Sim,Pedalar,não,,2,60,Sim,5
150,Ciência da Computação,122,Nos finais de semana,Sim,Academia,não,0,1,40,Sim,8
151,Engenharia de Computação,161,Ocasionalmente,Sim,Musculação,não,,2,35,Não,7
152,Ciência da Computação,122,Ocasionalmente,Sim,"Basquete, futebol, padel",não,,15,40,Sim,5
153,Ciência da Computação,121,Nos finais de semana,Sim,Academia,Sim,Evangélico afastado,1,69,Sim,7
154,Engenharia de Computação,151,Frequentemente,Sim,"Futebol, corrida, basquete",Sim,Católico,7,30,Sim,8
155,Ciência da Computação,132,Ocasionalmente,Sim,"Futebol, Academia",não,,2,53,Sim,8
156,Ciência da Computação,182,Ocasionalmente,Sim,"Bicicleta, corrida",não,,6,23,Sim,8
157,Engenharia de Computação,171,Nunca,Não,,Sim,Evangélica,7,29,Sim,8
158,Engenharia de Computação,171,Ocasionalmente,Sim,Musculação,não,,4,21,Não,7
159,Ciência da Computação,122,Ocasionalmente,Sim,Musculação,não,,3,40,Sim,6
160,Engenharia de Computação,171,Nunca,Sim,Corrida,não,,7,15,Sim,5
161,Licenciatura em Matemática,161,Frequentemente,Sim,Musculação e Corrida,Sim,,8,65,Não,8
162,Engenharia de Computação,191,Ocasionalmente,Sim,"Futsal, futebol, vôlei",Sim,Católico apostólico romano,5,26,Sim,7
163,Ciência da Computação,142,Ocasionalmente,Sim,Kickboxing,Sim,Católico,3,35,Sim,5
164,Ciência da Computação,152,Ocasionalmente,Sim,Futebol,Sim,,2,40,Não,4
165,Arquitetura e Urbanismo,151,Nunca,Não,,não,,3,54,Sim,8
166,Ciência da Computação,142,Nunca,Não,,não,,3,53,Não,7
167,Arquitetura e Urbanismo,151,Ocasionalmente,Sim,Academia,não,,2,36,Sim,7
168,Engenharia de Computação,171,Ocasionalmente,Não,,não,,1,24,Não,7
169,Ciência da Computação,151,Nunca,Sim,Skate,Sim,Deísmo,3,39,Sim,9
170,Agronomia,121,Nunca,Não,,Sim,Católica,2,90,Sim,5
171,Ciência da Computação,152,Ocasionalmente,Sim,Futebol,não,,6,42,Não,6
172,Ciência da Computação,132,Nos finais de semana,Sim,Corrida,não,,6,45,Sim,6
173,Ciência da Computação,182,Frequentemente,Sim,,não,,5,60,Sim,6
174,Ciência da Computação,162,Nunca,Sim,Futebol,Sim,,3,37,Não,7
175,Ciência da Computação,162,Nunca,Não,,Sim,"Tenho tendência a seguir a filosofia de Ayn Rand, no caso o Objetivismo.",5,28,Não,6
176,Ciência da Computação,162,Ocasionalmente,Sim,Corrida,não,,500,26,Não,9
177,Ciência da Computação,92,Ocasionalmente,Não,,Sim,,2,66,Sim,7
178,Ciência da Computação,122,Ocasionalmente,Sim,"Academia, Futebol, Volei",Sim,Luterana,5,27,Sim,7